MARKETEVALUATIONPOINT_EAN;CONDUCTINGEQUIPMENT_NAME;MARKETPARTICIPANT_NAME;MARKETROLE_NAME;STREETADDRESS_POSTALCODE;STREETDETAIL_NAME;STREETDETAIL_NUMBER;TOWNDETAIL_NAME;TOWNDETAIL_SECTION;TOWNDETAIL_STATEORPROVINCE;COORDINATESYSTEM_NAME;POSITIONPOINT_YPOSITION;POSITIONPOINT_XPOSITION
871685920002878326;9018587-EL-T01;UBITRICITY – GESELLSCHAF;NVT;1705KD;AAGJE DEKENTUIN;13 ELP;DIJK EN WAARD;HEERHUGOWAARD;NOORD-HOLLAND;EPSG:4326;52,6488;4,82097
871685920002878340;3022408-EL-T01;UBITRICITY – GESELLSCHAF;NVT;1705KM;MIMI BOESNACHHOF;4 ELP;DIJK EN WAARD;HEERHUGOWAARD;NOORD-HOLLAND;EPSG:4326;52,65083;4,82278
871685920002558433;\\N;NV NUON SALES;NVT;1078KZ;GEULSTRAAT;18 1 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,34483;4,8923
871685920002558433;3020088-EL-T02;NV NUON SALES;NVT;1078KZ;GEULSTRAAT;18 1 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,34483;4,8923
871690930000530814;2002685-EL-T01;OUCHICHA;NVT;2321TS;BOSHUIZERKADE;1 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,15444;4,47525
871687110002862830;7001305-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3771GC;NICOLAAS BEETSSTRAAT;36 ELP;BARNEVELD;BARNEVELD;GELDERLAND;EPSG:4326;52,1419;5,57301
871687110002864513;7001405-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3772ZR;DOORNENBURG;61 ELP;BARNEVELD;BARNEVELD;GELDERLAND;EPSG:4326;52,13092;5,58051
871687110002860256;9003133-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3772PT;PHOENIXLAAN;31 ELP;BARNEVELD;BARNEVELD;GELDERLAND;EPSG:4326;52,12584;5,59371
871687110002874819;7001431-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3771HB;KROMMESTRAAT;9 ELP;BARNEVELD;BARNEVELD;GELDERLAND;EPSG:4326;52,14089;5,58576
871687110002991264;7002405-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3925SC;FLUITEKRUIDLAAN;55 ELP;SCHERPENZEEL;SCHERPENZEEL GLD;GELDERLAND;EPSG:4326;52,07431;5,49366
871687110003183057;7001430-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3772BB;KOTERWEG;21 ELP;BARNEVELD;BARNEVELD;GELDERLAND;EPSG:4326;52,13691;5,58494
871687110002860454;7011395-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3772NM;TIJSSELINGLAAN;32 ELP;BARNEVELD;BARNEVELD;GELDERLAND;EPSG:4326;52,12319;5,57385
871685920002300827;3017328-EL-T02;AMVEST RESIDENTIAL CORE ;NVT;1013AD;WESTERDOKSDIJK;271 D ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,3848;4,89257
871685920002300827;3017328-EL-T01;AMVEST RESIDENTIAL CORE ;NVT;1013AD;WESTERDOKSDIJK;271 D ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,3848;4,89257
871687110005110266;4004036-EL-T01;\\N;NVT;7131XM;DR ARIENSSTRAAT;26 ELP;OOST GELRE;LICHTENVOORDE;GELDERLAND;EPSG:4326;\\N;\\N
871685920002501613;3009686-EL-T01;EQUANS INFRA & MOBILITY;CPO;1097MG;IJSLANDTPAD;7 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,34561;4,92208
871685920002501613;3009686-EL-T01;EQUANS INFRA & MOBILITY;CPO;1097MG;IJSLANDTPAD;7 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,34561;4,92208
871687110002849855;9023593-EL-T01;PARKNCHARGE SPV1 B.V.;NVT;6815AD;WAGNERLAAN;55 ELP;ARNHEM;ARNHEM;GELDERLAND;EPSG:4326;51,99916;5,90801
871687110002390753;5001238-EL-T01;EVNETNL B.V;NVT;6971CW;BURG DEKKERSTRAAT;40 ELP;BRUMMEN;BRUMMEN;GELDERLAND;EPSG:4326;52,08862;6,15365
871687110002482403;0108425-EL-T01;EVNETNL B.V;NVT;4182CA;VAN PALLANDTWEG;1 ELP;WEST BETUWE;NEERIJNEN;GELDERLAND;EPSG:4326;51,83529;5,27584
871687110001579203;1003807-EL-T01;EVNETNL B.V;NVT;9163GS;VERDEKSPAD;9 ELP ELP;AMELAND;NES AMELAND;FRYSLÂN;EPSG:4326;53,44468;5,77065
871685920003575477;3006399-EL-T02;EQUANS INFRA & MOBILITY;CPO;1095CS;JAVAPLANTSOEN;24 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,36256;4,9445
871685920003575477;3006399-EL-T02;EQUANS INFRA & MOBILITY;CPO;1095CS;JAVAPLANTSOEN;24 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,36256;4,9445
871685920003575477;3016834-EL-T01;EQUANS INFRA & MOBILITY;CPO;1095CS;JAVAPLANTSOEN;24 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,36256;4,9445
871685920003575477;3016834-EL-T01;EQUANS INFRA & MOBILITY;CPO;1095CS;JAVAPLANTSOEN;24 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,36256;4,9445
871687110001579210;1003633-EL-T01;EVNETNL B.V;NVT;9161BW;JAN JACOBSWEG;6 ELP;AMELAND;HOLLUM;FRYSLÂN;EPSG:4326;53,44141;5,63462
871687110002486531;6004256-EL-T01;EVNETNL B.V;NVT;4181CD;KOEWEISTRAAT;4 ELP;WEST BETUWE;WAARDENBURG;GELDERLAND;EPSG:4326;51,82976;5,25209
871687110002453748;1001405-EL-T01;EVNETNL B.V;NVT;8458CL;AENGWIRDERWEG;318 ELP;HEERENVEEN;TJALLEBERD;FRYSLÂN;EPSG:4326;53,00091;5,95153
871687110002644672;1002300-EL-T01;EVNETNL B.V;NVT;9104BR;HYNSTEBLOM;4 ELP ELP;DANTUMADIEL;DAMWALD;FRYSLÂN;EPSG:4326;\\N;\\N
871687110002515668;6003919-EL-T01;EVNETNL B.V;NVT;5301HR;BEERSTEEG;2 ELP;ZALTBOMMEL;ZALTBOMMEL;GELDERLAND;EPSG:4326;51,81036;5,24117
871685920003049749;2000389-EL-T01;EQUANS I&M SGZH;NVT;2252BE;KAREL DOORMANLAAN;9 ELP;VOORSCHOTEN;VOORSCHOTEN;ZUID-HOLLAND;EPSG:4326;52,11909;4,4364
871687110001557607;6002349-EL-T01;EVNETNL B.V;NVT;6566EG;HEERBAAN;115 LP ELP;BERG EN DAL;MILLINGEN AAN DE RIJN;GELDERLAND;EPSG:4326;51,86402;6,04666
871685920003624410;\\N;EQUANS INFRA & MOBILITY;CPO;1074BE;HEMONYLAAN;6 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,35727;4,90026
871685920003624410;\\N;EQUANS INFRA & MOBILITY;CPO;1074BE;HEMONYLAAN;6 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,35727;4,90026
871685920003624410;3025498-EL-T02;EQUANS INFRA & MOBILITY;CPO;1074BE;HEMONYLAAN;6 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,35727;4,90026
871685920003624410;9004383-EL-T01;EQUANS INFRA & MOBILITY;CPO;1074BE;HEMONYLAAN;6 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,35727;4,90026
871685920003624410;3020257-EL-T01;EQUANS INFRA & MOBILITY;CPO;1074BE;HEMONYLAAN;6 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,35727;4,90026
871685920003624410;9005409-EL-T01;EQUANS INFRA & MOBILITY;CPO;1074BE;HEMONYLAAN;6 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,35727;4,90026
871685920003624410;3025498-EL-T01;EQUANS INFRA & MOBILITY;CPO;1074BE;HEMONYLAAN;6 ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,35727;4,90026
871687110002485176;5007136-EL-T01;EVNETNL B.V;NVT;7391BA;FRANS HALSSTRAAT;3 A ELP;VOORST;TWELLO;GELDERLAND;EPSG:4326;52,23692;6,09894
871687110002497360;9020086-EL-T01;EVNETNL B.V;NVT;7201HL;KATTENHAVESTRAAT;5 ELP;ZUTPHEN;ZUTPHEN;GELDERLAND;EPSG:4326;52,14011;6,19197
871687110002497360;4005474-EL-T01;EVNETNL B.V;NVT;7201HL;KATTENHAVESTRAAT;5 ELP;ZUTPHEN;ZUTPHEN;GELDERLAND;EPSG:4326;52,14011;6,19197
871687110002497360;4005475-EL-T01;EVNETNL B.V;NVT;7201HL;KATTENHAVESTRAAT;5 ELP;ZUTPHEN;ZUTPHEN;GELDERLAND;EPSG:4326;52,14011;6,19197
871687110002497360;4005476-EL-T01;EVNETNL B.V;NVT;7201HL;KATTENHAVESTRAAT;5 ELP;ZUTPHEN;ZUTPHEN;GELDERLAND;EPSG:4326;52,14011;6,19197
871687110002478154;4005931-EL-T01;EVNETNL B.V;NVT;6911AW;CLAUDIUS CIVILISSTRAAT;16 ELP;ZEVENAAR;PANNERDEN;GELDERLAND;EPSG:4326;51,88955;6,03996
871685920003706574;3000161-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;1185AM;MAARTEN LUTHERWEG;289 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,29123;4,86215
871685920003705454;3001144-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;1187WP;WILLEM ELSSCHOTLAAN;17 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,27603;4,82893
871687110002603129;4003531-EL-T01;EVNETNL B.V;NVT;7001GM;TERBORGSEWEG;25 A ELP;DOETINCHEM;DOETINCHEM;GELDERLAND;EPSG:4326;\\N;\\N
871687110002458408;\\N;EVNETNL B.V;NVT;8401CS;SCHOOLSTRAAT;7 01 ELP;OPSTERLAND;GORREDIJK;FRYSLÂN;EPSG:4326;53,00151;6,06471
871687110002549205;4004297-EL-T01;EVNETNL B.V;NVT;7241DN;WAPEN VAN LOCHEM;5 ELP;LOCHEM;LOCHEM;GELDERLAND;EPSG:4326;52,15901;6,41595
871687110003274816;6002682-EL-T01;GEMEENTE BEUNINGEN;NVT;6641DA;SCHOOLSTRAAT;11 ELP;BEUNINGEN;BEUNINGEN GLD;GELDERLAND;EPSG:4326;51,86268;5,77376
871690930000399183;2002739-EL-T01;EVNETNL B.V;NVT;2317EL;KLAPROOS;20 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,17727;4,5167
871690930000399183;2002740-EL-T01;EVNETNL B.V;NVT;2317EL;KLAPROOS;20 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,17727;4,5167
871687110002480881;4005923-EL-T01;EVNETNL B.V;NVT;6915XT;SPORTLAAN;2 ELP;ZEVENAAR;LOBITH;GELDERLAND;EPSG:4326;51,86315;6,11987
871685920002815260;3013389-EL-T01;EQUANS INFRA & MOBILITY;CPO;1052CG;NASSAUKADE;10 H ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,38403;4,8813
871685920002815260;3020364-EL-T01;EQUANS INFRA & MOBILITY;CPO;1052CG;NASSAUKADE;10 H ELP;AMSTERDAM;AMSTERDAM;NOORD-HOLLAND;EPSG:4326;52,38403;4,8813
871690930000399152;2002832-EL-T01;EVNETNL B.V;NVT;2315HK;DECIMASTRAAT;2 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,16184;4,50777
871690930000399152;2002933-EL-T01;EVNETNL B.V;NVT;2315HK;DECIMASTRAAT;2 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,16184;4,50777
871690930000399152;2002836-EL-T01;EVNETNL B.V;NVT;2315HK;DECIMASTRAAT;2 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,16184;4,50777
871690930000399152;2002831-EL-T01;EVNETNL B.V;NVT;2315HK;DECIMASTRAAT;2 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,16184;4,50777
871690930000399152;2002831-EL-T02;EVNETNL B.V;NVT;2315HK;DECIMASTRAAT;2 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,16184;4,50777
871690930000399152;9007331-EL-T01;EVNETNL B.V;NVT;2315HK;DECIMASTRAAT;2 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,16184;4,50777
871690930000399152;2002931-EL-T01;EVNETNL B.V;NVT;2315HK;DECIMASTRAAT;2 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,16184;4,50777
871690930000399596;2002928-EL-T01;EVNETNL B.V;NVT;2315KH;ZIJLSINGEL;73 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,15706;4,50479
871690930000399596;9020766-EL-T01;EVNETNL B.V;NVT;2315KH;ZIJLSINGEL;73 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,15706;4,50479
871690930000399596;9020766-EL-T01;EVNETNL B.V;NVT;2315KH;ZIJLSINGEL;73 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,15706;4,50479
871687110002849862;9023593-EL-T01;PARKNCHARGE SPV1 B.V.;NVT;6815AD;WAGNERLAAN;55 ELP;ARNHEM;ARNHEM;GELDERLAND;EPSG:4326;51,99903;5,90798
871687110002456824;5003540-EL-T01;EVNETNL B.V;NVT;6715CV;PEPPELENSTEEG;1 ELP;EDE;EDE GLD;GELDERLAND;EPSG:4326;52,03683;5,64347
871687110002456824;5002391-EL-T01;EVNETNL B.V;NVT;6715CV;PEPPELENSTEEG;1 ELP;EDE;EDE GLD;GELDERLAND;EPSG:4326;52,03683;5,64347
871687110002462962;0107200-EL-T01;EVNETNL B.V;NVT;8181DW;J.A. TE NUIJLSTRAAT;46 ELP;HEERDE;HEERDE;GELDERLAND;EPSG:4326;52,38784;6,04057
871687110002462962;0107200-EL-T01;EVNETNL B.V;NVT;8181DW;J.A. TE NUIJLSTRAAT;46 ELP;HEERDE;HEERDE;GELDERLAND;EPSG:4326;52,38784;6,04057
871694840032438179;9026266-EL-T01;EVNETNL B.V;NVT;8321HG;DE HOFSTEE;2 A ELP;URK;URK;FLEVOLAND;EPSG:4326;52,66539;5,59657
871690930000813207;2011225-EL-T01;EQUANS I&M SGZH 2.0;NVT;2371HL;WATERLELIE;5 ELP;KAAG EN BRAASSEM;ROELOFARENDSVEEN;ZUID-HOLLAND;EPSG:4326;52,20521;4,63192
871694840032438100;9009447-EL-T01;EVNETNL B.V;NVT;8301AR;ZUIDERKADE;6 ELP;NOORDOOSTPOLDER;EMMELOORD;FLEVOLAND;EPSG:4326;52,70746;5,75732
871687110002839757;5001027-EL-T05;PARKNCHARGE SPV5 B.V.;NVT;7311HH;MARIASTRAAT;31 ELP;APELDOORN;APELDOORN;GELDERLAND;EPSG:4326;52,2133;5,96037
871687110002507366;0103773-EL-T01;EVNETNL B.V;NVT;7241CR;HANZEWEG;6 ELP;LOCHEM;LOCHEM;GELDERLAND;EPSG:4326;52,16436;6,41598
871694840032438087;9009373-EL-T01;EVNETNL B.V;NVT;8303GH;EUROPALAAN;31 ELP;NOORDOOSTPOLDER;EMMELOORD;FLEVOLAND;EPSG:4326;52,71124;5,74018
871687110003140722;1012657-EL-T01;ALLEGO B.V.;NVT;9204JX;EEMS;8 ELP;SMALLINGERLAND;DRACHTEN;FRYSLÂN;EPSG:4326;53,09924;6,07435
871687110002478161;4002905-EL-T01;EVNETNL B.V;NVT;7213XH;MOLENWEG;56 ELP;LOCHEM;GORSSEL;GELDERLAND;EPSG:4326;52,2026;6,20291
871687110003013583;\\N;ALLEGO B.V.;NVT;3841EN;KLOOSTER;1 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,34785;5,61814
871687110003013583;7011928-EL-T01;ALLEGO B.V.;NVT;3841EN;KLOOSTER;1 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,34785;5,61814
871687110003104977;7004532-EL-T01;ALLEGO B.V.;NVT;3891BW;WESTERGO;83 ELP;ZEEWOLDE;ZEEWOLDE;FLEVOLAND;EPSG:4326;52,33485;5,5359
871687110003024947;4007002-EL-T01;ALLEGO B.V.;NVT;7201DS;MARTINETSINGEL;7 ELP;ZUTPHEN;ZUTPHEN;GELDERLAND;EPSG:4326;52,13873;6,19788
871685920002747110;3017720-EL-T01;ALLEGO B.V.;NVT;1185AS;MAARTEN LUTHERWEG;142 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,29305;4,86322
871685920002774635;3014206-EL-T01;ALLEGO B.V.;NVT;1431DK;MANILLEHOF;2 ELP;AALSMEER;AALSMEER;NOORD-HOLLAND;EPSG:4326;52,27146;4,75829
871687110003004796;6002559-EL-T01;ALLEGO B.V.;NVT;6601WS;HEILIGE STOEL;3802 ELP;WIJCHEN;WIJCHEN;GELDERLAND;EPSG:4326;51,81494;5,71945
871687110003032621;7003396-EL-T01;ALLEGO B.V.;NVT;1326LZ;TARANTELLASTRAAT;2 ELP;ALMERE;ALMERE;FLEVOLAND;EPSG:4326;52,3638;5,25166
871687110002958960;9002384-EL-T01;ALLEGO B.V.;NVT;1363XW;BRIGANTIASTRAAT;16 ELP;ALMERE;ALMERE;FLEVOLAND;EPSG:4326;52,35746;5,14708
871687110002958816;7003148-EL-T01;ALLEGO B.V.;NVT;1351NB;PEPPENGOUW;20 ELP;ALMERE;ALMERE;FLEVOLAND;EPSG:4326;52,34643;5,21403
871687110002994708;6002676-EL-T01;ALLEGO B.V.;NVT;6602HT;KLOOSTERAKKER;91 ELP;WIJCHEN;WIJCHEN;GELDERLAND;EPSG:4326;51,80621;5,72035
871685920003599923;9022030-EL-T01;EQUANS INFRA & MOB SGZH;NVT;2371LA;SMARAGD;31 ELP;KAAG EN BRAASSEM;ROELOFARENDSVEEN;ZUID-HOLLAND;EPSG:4326;52,20059;4,625
871685920002994149;2002802-EL-T01;ALLEGO B.V.;NVT;2316CZ;WILLEM DE ZWIJGERLAAN;177 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,16813;4,49488
871687110002916304;7003202-EL-T01;ALLEGO B.V.;NVT;1316NA;KETENSTRAAT;31 ELP;ALMERE;ALMERE;FLEVOLAND;EPSG:4326;52,38582;5,22803
871685920002984492;2003480-EL-T01;ALLEGO B.V.;NVT;2341LE;MARELAAN;54 ELP;OEGSTGEEST;OEGSTGEEST;ZUID-HOLLAND;EPSG:4326;52,17977;4,47838
871687110002544194;6007926-EL-T01;ALLEGO B.V.;NVT;6602HX;CAMPUSLAAN;11 ELP;WIJCHEN;WIJCHEN;GELDERLAND;EPSG:4326;51,80346;5,73863
871685920002885065;3003288-EL-T01;ALLEGO B.V.;NVT;1187EE;KORIANDERLAAN;83 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,27171;4,83563
871687110002958922;7003025-EL-T01;ALLEGO B.V.;NVT;1354GN;BUITENHOF;60 ELP;ALMERE;ALMERE;FLEVOLAND;EPSG:4326;52,34178;5,2183
871685920002755900;3007266-EL-T01;ALLEGO B.V.;NVT;1188JJ;OVERMIJN;14 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,28147;4,84472
871685920003108408;2002921-EL-T01;ALLEGO B.V.;NVT;2315TZ;WILLEM BARENTSZSTRAAT;11 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,15988;4,51147
871685920002879750;2001058-EL-T01;ALLEGO B.V.;NVT;2401JA;MARKETENTSTER;257 ELP;ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;ZUID-HOLLAND;EPSG:4326;52,15353;4,65354
871685920002879750;2001057-EL-T01;ALLEGO B.V.;NVT;2401JA;MARKETENTSTER;257 ELP;ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;ZUID-HOLLAND;EPSG:4326;52,15353;4,65354
871687110003124586;6003508-EL-T01;ALLEGO B.V.;NVT;5315AB;MOLENSTRAAT;50 ELP;ZALTBOMMEL;KERKWIJK;GELDERLAND;EPSG:4326;51,77581;5,21648
871687110002968785;7003513-EL-T01;ALLEGO B.V.;NVT;1339PC;SAMOASTRAAT;51 ELP;ALMERE;ALMERE;FLEVOLAND;EPSG:4326;52,39779;5,30534
871687110004440722;1012626-EL-T01;TCSNL;NVT;8495KG;TSJERKEBUORREN;115 ELP;HEERENVEEN;ALDEBOARN;FRYSLÂN;EPSG:4326;53,04747;5,89786
871685920003728262;2000624-EL-T01;EQUANS INFRA & MOB SGZH;NVT;2243GK;DUINVOETLAAN;5 ELP;WASSENAAR;WASSENAAR;ZUID-HOLLAND;EPSG:4326;52,12848;4,36206
871685920002757638;3007276-EL-T01;ALLEGO B.V.;NVT;1185KA;KASTANJELAAN;34 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,29829;4,84723
871685920002757638;9019655-EL-T01;ALLEGO B.V.;NVT;1185KA;KASTANJELAAN;34 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,29829;4,84723
871687110002906114;9000525-EL-T01;ALLEGO B.V.;NVT;1363RC;ISKURSTRAAT;12 ELP;ALMERE;ALMERE;FLEVOLAND;EPSG:4326;52,35497;5,16118
871685920002881371;3000614-EL-T01;ALLEGO B.V.;NVT;1135KK;WEIDEMOLEN;1 ELP;EDAM-VOLENDAM;EDAM;NOORD-HOLLAND;EPSG:4326;52,50957;5,06161
871685920002746014;3020910-EL-T01;ALLEGO B.V.;NVT;1187DA;JANE ADDAMSLAAN;79 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,27576;4,8181
871687110003064776;9008868-EL-T01;ALLEGO B.V.;NVT;8926KN;SCHUILENBURG;37 ELP;LEEUWARDEN;LEEUWARDEN;FRYSLÂN;EPSG:4326;53,21277;5,842
871687110003005175;9022964-EL-T01;ALLEGO B.V.;NVT;3844GA;STATIONSLAAN;43 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,34051;5,62034
871685920003572971;9005956-EL-T01;EQUANS INFRA & MOB SGZH;NVT;2371JL;RIETOEVER;58 ELP;KAAG EN BRAASSEM;ROELOFARENDSVEEN;ZUID-HOLLAND;EPSG:4326;52,2018;4,63707
871685920002993579;2000370-EL-T01;ALLEGO B.V.;NVT;2321GS;ZOETERWOUDSEWEG;166 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,14299;4,48661
871685920004113418;3014619-EL-T01;TCSNL;NVT;1132BN;KRAGGENBURG;1 ELP;EDAM-VOLENDAM;VOLENDAM;NOORD-HOLLAND;EPSG:4326;52,49624;5,05359
871685920002993562;2002776-EL-T01;ALLEGO B.V.;NVT;2316ZM;PARMENTIERWEG;2 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,16799;4,48673
871685920002918794;2003349-EL-T01;ALLEGO B.V.;NVT;2311RV;ZONNEVELDSTRAAT;1 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,15665;4,4891
871687110003005465;7001793-EL-T02;ALLEGO B.V.;NVT;3841KA;IR. P. CALANDSTRAAT;22 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,34939;5,6309
871687110003005465;7001801-EL-T01;ALLEGO B.V.;NVT;3841KA;IR. P. CALANDSTRAAT;22 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,34939;5,6309
871687110003005465;7001873-EL-T01;ALLEGO B.V.;NVT;3841KA;IR. P. CALANDSTRAAT;22 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,34939;5,6309
